it,sol,rhsl1,rhsl2,rhslinf,dyl1,dyl2,dylinf,relerr
45,1,2.367261e+09,2.416763e+08,1.771148e+08,5.527222e+09,2.345119e+07,1.320447e+05,4.934417e-08
45,2,1.269935e+05,1.297194e+04,9.505702e+03,3.866870e+05,1.608710e+03,8.798289e+00,4.948304e-08
45,3,1.152872e+05,1.177768e+04,8.630456e+03,3.774980e+05,1.560507e+03,9.649555e+00,4.953221e-08
45,4,2.876788e+01,1.102600e+00,7.545025e-01,1.188385e+04,4.820850e+01,9.391225e-01,4.087406e-08
45,5,2.612908e+01,1.016015e+00,7.104845e-01,1.021710e+04,4.238887e+01,1.478468e+00,4.112857e-08
45,6,2.295981e+01,9.074637e-01,6.329788e-01,8.353494e+03,3.458994e+01,1.039193e+00,4.169731e-08
46,1,2.485026e+09,2.536190e+08,1.858741e+08,5.572037e+09,2.362494e+07,1.328212e+05,1.658006e-08
46,2,1.250161e+05,1.276596e+04,9.355111e+03,3.691450e+05,1.533741e+03,8.367999e+00,1.653742e-08
46,3,1.130155e+05,1.154188e+04,8.457978e+03,3.729141e+05,1.535580e+03,8.289146e+00,1.653280e-08
46,4,2.632490e+01,1.028030e+00,7.202909e-01,1.002314e+04,4.062501e+01,8.221785e-01,3.725222e-08
47,1,2.539711e+09,2.591867e+08,1.899545e+08,5.601694e+09,2.373919e+07,1.333335e+05,4.774765e-08
47,2,1.240286e+05,1.266450e+04,9.280749e+03,3.621841e+05,1.503463e+03,8.184551e+00,4.800938e-08
47,3,1.125714e+05,1.149598e+04,8.424342e+03,3.771450e+05,1.549175e+03,1.268723e+01,4.807942e-08
47,4,3.144384e+01,1.052834e+00,7.383134e-01,1.250525e+04,5.194157e+01,2.121501e+00,2.705273e-08
47,5,2.905292e+01,1.009907e+00,7.075551e-01,1.281629e+04,5.349828e+01,2.344097e+00,2.600070e-08
47,6,2.539517e+01,9.559256e-01,6.639956e-01,1.356835e+04,5.734418e+01,2.853807e+00,4.944290e-08
48,1,2.620703e+09,2.673763e+08,1.959739e+08,5.625335e+09,2.382913e+07,1.337256e+05,1.982276e-08
48,2,1.224343e+05,1.249824e+04,9.159714e+03,3.488599e+05,1.447129e+03,7.870732e+00,1.991578e-08
